,item_id,total_cost,category
0,FOODS_1_001,0.4146268492068438,FOODS
1,FOODS_1_002,0.32541947690517864,FOODS
2,FOODS_1_003,4.759070420630712,FOODS
3,FOODS_1_004,21.23778662328136,FOODS
4,FOODS_1_005,1.725201878815067,FOODS
5,FOODS_1_006,5.691466666798399,FOODS
6,FOODS_1_008,0.06294425442175752,FOODS
7,FOODS_1_009,1.5471663842251453,FOODS
8,FOODS_1_010,6.174379062094605,FOODS
9,FOODS_1_011,8.129353643404318,FOODS
10,FOODS_1_012,5.828275052742525,FOODS
11,FOODS_1_013,0.3756016438784514,FOODS
12,FOODS_1_014,0.37861046027150946,FOODS
13,FOODS_1_015,2.4269791629592756,FOODS
14,FOODS_1_016,0.0401514805757963,FOODS
15,FOODS_1_017,8.597460996503711,FOODS
16,FOODS_1_018,7.9049273720696664,FOODS
17,FOODS_1_019,1.9162377081092978,FOODS
18,FOODS_1_020,7.087080498253189,FOODS
19,FOODS_1_021,4.389132825850987,FOODS
20,FOODS_1_022,0.514288203852575,FOODS
21,FOODS_1_023,3.672562650166233,FOODS
22,FOODS_1_024,0.08191146063611532,FOODS
23,FOODS_1_025,0.07693018488116658,FOODS
24,FOODS_1_026,0.1592730277786363,FOODS
25,FOODS_1_027,0.036820317033153645,FOODS
26,FOODS_1_028,2.2037434694091114,FOODS
27,FOODS_1_029,5.70776991120108,FOODS
28,FOODS_1_030,0.050429176592511823,FOODS
29,FOODS_1_031,13.942964643018595,FOODS
30,FOODS_1_032,6.504740226470468,FOODS
31,FOODS_1_033,13.02031476610654,FOODS
32,FOODS_1_034,2.9260238071981015,FOODS
33,FOODS_1_035,8.069253179689271,FOODS
34,FOODS_1_036,0.03366411508039774,FOODS
35,FOODS_1_037,0.8439109451099682,FOODS
36,FOODS_1_038,4.900199555835361,FOODS
37,FOODS_1_039,0.048313425091584476,FOODS
38,FOODS_1_040,0.7736066619748063,FOODS
39,FOODS_1_041,0.05940694936284547,FOODS
40,FOODS_1_042,2.6796027671565947,FOODS
41,FOODS_1_043,0.9193898883533311,FOODS
42,FOODS_1_044,3.2798273973834156,FOODS
43,FOODS_1_045,2.1847953191829514,FOODS
44,FOODS_1_046,0.06458224099956845,FOODS
45,FOODS_1_047,9.444438557561748,FOODS
46,FOODS_1_048,0.08350374583719021,FOODS
47,FOODS_1_049,4.515771858758827,FOODS
48,FOODS_1_050,2.206146254289373,FOODS
49,FOODS_1_051,0.08517078746251112,FOODS
50,FOODS_1_052,0.31505843264039973,FOODS
51,FOODS_1_053,0.07655374276412967,FOODS
52,FOODS_1_054,1.4963462973924393,FOODS
53,FOODS_1_055,0.5837950840161034,FOODS
54,FOODS_1_056,0.6830767563728704,FOODS
55,FOODS_1_057,0.04384981980505122,FOODS
56,FOODS_1_058,6.422788505432528,FOODS
57,FOODS_1_059,4.380359861226647,FOODS
58,FOODS_1_060,0.04148587762833268,FOODS
59,FOODS_1_061,11.233057797524092,FOODS
60,FOODS_1_062,0.06176180399288015,FOODS
61,FOODS_1_063,0.03995251678630832,FOODS
62,FOODS_1_064,1.374012344340426,FOODS
63,FOODS_1_065,8.256157896727757,FOODS
64,FOODS_1_066,5.706210994388785,FOODS
65,FOODS_1_067,4.0848411495424095,FOODS
66,FOODS_1_068,0.06022097302060468,FOODS
67,FOODS_1_069,5.510282389096012,FOODS
68,FOODS_1_070,0.020541606855153507,FOODS
69,FOODS_1_071,1.4163924471595177,FOODS
70,FOODS_1_072,0.0751627557789199,FOODS
71,FOODS_1_073,1.662332938962189,FOODS
72,FOODS_1_074,0.8942960312324622,FOODS
73,FOODS_1_075,0.0656712516334375,FOODS
74,FOODS_1_076,0.44054900302942407,FOODS
75,FOODS_1_077,0.9771724069534646,FOODS
76,FOODS_1_078,0.05898221562632773,FOODS
77,FOODS_1_079,0.05136696740628517,FOODS
78,FOODS_1_080,4.770056192543232,FOODS
79,FOODS_1_081,7.933824959403498,FOODS
80,FOODS_1_082,2.2848223244805506,FOODS
81,FOODS_1_083,6.23071077528592,FOODS
82,FOODS_1_084,0.1747509172687234,FOODS
83,FOODS_1_085,9.960488608924727,FOODS
84,FOODS_1_086,8.299279844105977,FOODS
85,FOODS_1_087,23.305813964845157,FOODS
86,FOODS_1_088,0.1477719393854036,FOODS
87,FOODS_1_089,0.06055633929456736,FOODS
88,FOODS_1_090,2.2561281537792945,FOODS
89,FOODS_1_091,0.5423403119488075,FOODS
90,FOODS_1_092,2.097459179626398,FOODS
91,FOODS_1_093,0.760622804381037,FOODS
92,FOODS_1_094,0.3474611825135381,FOODS
93,FOODS_1_095,0.040389161111715914,FOODS
94,FOODS_1_096,0.07370637649889819,FOODS
95,FOODS_1_097,0.37221071159667424,FOODS
